an.onset	onset detector for arrays / детектор атаки для массивов
data.int	a multi-functional integer object / многофункциональный объект целого числа
.int	a multi-functional integer object / многофункциональный объект целого числа
.i	a multi-functional integer object / многофункциональный объект целого числа
data.list	the list container / cписок
data.mlist	the multidimensional list container / многомерный список
ceammc/mlist	the multidimensional list container / многомерный список
mlist	the multidimensional list container / многомерный список
ceammc/ml	the multidimensional list container / многомерный список
ml	the multidimensional list container / многомерный список
data.path	filesystem path datatype / тип данных: путь в файловой системе
data.set	the set: container that store only unique elements / множество: контейнер, в котором хранятся только уникальные элементы
data.set2list	converts the set to the list / преобразует множество в список
ceammc/set->list	converts the set to the list / преобразует множество в список
set->list	converts the set to the list / преобразует множество в список
dict.contains	check if the dictionary contains the key / проверка, содержит ли словарь указанный ключ
dict.each	map each value in dictionary with the side-chain function / отображение каждого значения в словаре с помощью боковой цепи обработки
dict.from_list	creates dictionary from the list / создает словарь из списка
ceammc/list->dict	creates dictionary from the list / создает словарь из списка
list->dict	creates dictionary from the list / создает словарь из списка
dict.get	output the dictionary values by pre-defined key list / выводит значения словаря по предварительно заданному списку ключей
dict.keys	output the list of dictionary keys / выводит список ключей словаря
dict.pass	passes only specified keys in the dictionary / пропускает (фильтрует) только указанные ключи в словаре
dict.reject	rejects specified keys from the dictionary / удаляет указанные ключи из словаря
dict.size	output the dictionary size (number of key/value pairs) / выводит размер словаря (число пар ключ/значение)
dict.to_list	converts dictionary to plain list / конвертирует словарь в простой одномерный список
ceammc/dict->list	converts dictionary to plain list / конвертирует словарь в простой одномерный список
dict->list	converts dictionary to plain list / конвертирует словарь в простой одномерный список
dict.values	output the dictionary values as MList / выводит значения словаря в виде многоуровневого списка (MList)
global.bimap	global bidirectional map / глобальное двунаправленное отображение
local.bimap	local the to patch bidirectional map container / локальный для патча контейнер двунаправленного отображения
mlist.flatten	converts a multi-level list into a single-level list / преобразует многоуровневый список в одноуровневый
rtree.to_list	convert OpenMusic-like rhythm tree to list of fractions / преобразует OpenMusic-подобное ритмическое дерево в список дробей
ceammc/rtree->list	convert OpenMusic-like rhythm tree to list of fractions / преобразует OpenMusic-подобное ритмическое дерево в список дробей
rtree->list	convert OpenMusic-like rhythm tree to list of fractions / преобразует OpenMusic-подобное ритмическое дерево в список дробей
set.contains	checks whether the predefined element is present in the input set / проверяет, присутстует ли предварительно заданный элемент во входном множестве
set.diff	difference between two sets / разность между множествами
set.equal	checks if two sets are equal (contains same elements) / проверяет, равны ли два множества (содержат одинаковые элементы)
set.intersect	intersection of sets / пересечение множеств
set.size	outputs the number of elements in a set / выводит количество элементов в множестве
set.symdiff	symmetric difference between two sets / симметрическая разность между двумя множествами
set.union	union of sets / объединение множеств
dyn.comp2~	stereo dynamic range compressor / стерео-компрессор
dyn.comp_peak2~	stereo peak feed forward compressor with channel linking / пиковый стерео-компрессор прямой топологии
comp.peak2~	stereo peak feed forward compressor with channel linking / пиковый стерео-компрессор прямой топологии
dyn.comp_peak~	mono dynamic range peak feed forward compressor / пиковый моно-компрессор прямой топологии
comp.peak~	mono dynamic range peak feed forward compressor / пиковый моно-компрессор прямой топологии
dyn.comp_up2~	stereo upward compressor with channel linking / восходящий стерео-компрессор со связью каналов
comp.up2~	stereo upward compressor with channel linking / восходящий стерео-компрессор со связью каналов
dyn.comp_up~	mono upward compressor / восходящий моно-компрессор
comp.up~	mono upward compressor / восходящий моно-компрессор
dyn.comp~	mono dynamic range compressors / моно-компрессор
dyn.expand2~	stereo dynamic range expander with channel linking / расширение динамического стерео-диапазона
dyn.expand~	mono dynamic range expander / расширение динамического моно-диапазона
dyn.gate2~	stereo signal gate / стерео-сигнальный гейт
dyn.gate~	mono signal gate / моно-сигнальный гейт
dyn.limit2~	stereo 1176LN Peak Limiter / пиковый стерео-ограничитель сигнала в схемотехнике 1176LN
dyn.limit~	mono 1176LN Peak Limiter / пиковый моно-ограничитель сигнала в схемотехнике 1176LN
dyn.softclip~	soft signal clip / мягкое клиппирование сигнала
env.adsr~	ADSR (Attack, Decay, Sustain, Release) envelope generator / генератор огибающей ADSR (Attack, Decay, Sustain, Release)
env.ar~	Attack/Release envelope generator / генератор огибающей Attack/Release
env.asr2~	stereo Attack/Sustain/Release envelope generator / стерео генератор огибающей Attack/Sustain/Release
env.asr~	Attack/Sustain/Release envelope generator / генератор огибающей Attack/Sustain/Release
env.concat	envelope concatenation / конкатенация огибающих
env.follow~	envelope follower with independent attack and release times / детектор огибающей с независимой атакой и временем отпускания
env.mix	mix between two envelopes that contain the equal number of segments / микс между двумя огибающими, содержащими равное количество сегментов
env.smooth~	envelope with an exponential attack and release / огибающая с экспоненциальной атакой и отпусканием
env.tscale	envelope timescale / растяжение огибающей во времени
env.tshift	envelope time-shift (horizontal) / сдвиг огибающей по времени (по горизонтали)
env.vscale	envelope amplitude value-scale / изменение амплитуды огибающей
env2array	renders the envelope into the array / рендеринг огибающей в массив
ceammc/env2array	renders the envelope into the array / рендеринг огибающей в массив
ceammc/env->array	renders the envelope into the array / рендеринг огибающей в массив
env->array	renders the envelope into the array / рендеринг огибающей в массив
env2vline	Converts the envelope into the sequence of messages for [vline~] object / преобразует огибающую в последовательность сообщений для объекта [vline~]
ceammc/env2vline	Converts the envelope into the sequence of messages for [vline~] object / преобразует огибающую в последовательность сообщений для объекта [vline~]
ceammc/env->vline	Converts the envelope into the sequence of messages for [vline~] object / преобразует огибающую в последовательность сообщений для объекта [vline~]
env->vline	Converts the envelope into the sequence of messages for [vline~] object / преобразует огибающую в последовательность сообщений для объекта [vline~]
envelope	envelope data type / тип данных огибающей
ceammc/envelope	envelope data type / тип данных огибающей
ceammc/env	envelope data type / тип данных огибающей
env	envelope data type / тип данных огибающей
vline2env	Converts vline messages to Env / преобразование сообщений vline для Env
ceammc/vline2env	Converts vline messages to Env / преобразование сообщений vline для Env
ceammc/vline->env	Converts vline messages to Env / преобразование сообщений vline для Env
vline->env	Converts vline messages to Env / преобразование сообщений vline для Env
expand_env	substitutes environment variables in a data stream / подставляет значения переменных среды в поток данных
ceammc/expand_env	substitutes environment variables in a data stream / подставляет значения переменных среды в поток данных
flow.append	append message to flow stream / добавляет сообщение в поток
flow.change	rejects repeated input messages / удаляет повторяющиеся сообщения
flow.count	control flow event counter / счетчик числа сообщений в управляющем потоке
flow.delay	enhanced version of the vanilla [delay] object / усовершенствованная версия объекта [delay]
flow.del	enhanced version of the vanilla [delay] object / усовершенствованная версия объекта [delay]
flow.demultiplex	demultiplex of the control flow / демультиплексор управляющего потока
flow.demux	demultiplex of the control flow / демультиплексор управляющего потока
flow.demultiplex2~	audio stream stereo demultiplexer / демультиплексор стерео аудиопотока
flow.demux2~	audio stream stereo demultiplexer / демультиплексор стерео аудиопотока
ceammc/demux2~	audio stream stereo demultiplexer / демультиплексор стерео аудиопотока
demux2~	audio stream stereo demultiplexer / демультиплексор стерео аудиопотока
flow.demultiplex~	audio stream demultiplexer / демультиплексор аудиопотока
flow.demux~	audio stream demultiplexer / демультиплексор аудиопотока
ceammc/demux~	audio stream demultiplexer / демультиплексор аудиопотока
demux~	audio stream demultiplexer / демультиплексор аудиопотока
flow.dollar	Substitute the $-values / подставляет $-значения
flow.$$	Substitute the $-values / подставляет $-значения
flow.dup	duplicate messages / дупликатор сообщений
flow.float	pass floats
flow.f	pass floats
flow.gate	control flow gate. [spigot] object analog / шлюз для потока сообщений. аналог объекта [spigot]
ceammc/gate	control flow gate. [spigot] object analog / шлюз для потока сообщений. аналог объекта [spigot]
gate	control flow gate. [spigot] object analog / шлюз для потока сообщений. аналог объекта [spigot]
flow.greater	numeric stream router by 'greater' condition / маршрутизатор числового потока по условию 'больше'
flow.>	numeric stream router by 'greater' condition / маршрутизатор числового потока по условию 'больше'
flow.greater_eq	numeric stream router by 'greater or equal' condition / маршрутизатор числового потока по условию 'больше или равно'
flow.>=	numeric stream router by 'greater or equal' condition / маршрутизатор числового потока по условию 'больше или равно'
flow.group	group input atoms in lists of specified size / группирует входные атомы в списки указанного размера
ceammc/group	group input atoms in lists of specified size / группирует входные атомы в списки указанного размера
group	group input atoms in lists of specified size / группирует входные атомы в списки указанного размера
flow.histogram	histogram for numeric control flow / гистограмма для числового потока управления
flow.hist	histogram for numeric control flow / гистограмма для числового потока управления
flow.interval	measure the time between messages / измерение времени между сообщениями
flow.less	numeric stream router by 'less' condition / маршрутизатор числового потока по условию 'меньше'
flow.<	numeric stream router by 'less' condition / маршрутизатор числового потока по условию 'меньше'
flow.less_eq	numeric stream router by 'less or equal' condition / маршрутизатор числового потока по условию 'меньше или равно'
flow.<=	numeric stream router by 'less or equal' condition / маршрутизатор числового потока по условию 'меньше или равно'
flow.list2many	routes the list element with the corresponding message / маршрутизирует элемент списка с соответствующим сообщением
ceammc/list->many	routes the list element with the corresponding message / маршрутизирует элемент списка с соответствующим сообщением
list->many	routes the list element with the corresponding message / маршрутизирует элемент списка с соответствующим сообщением
flow.match	routes the control flow by the regular expression match / маршрутизатор управляющего потока с помощью совпадений с регулярным выражением
flow.mem	store into the memory or output the control flow messages / сохраняет в памяти или выводит сообщения потока управления
flow.multiplex	control flow multiplexer / мультиплексор управляющего потока
flow.mux	control flow multiplexer / мультиплексор управляющего потока
flow.multiplex2~	audio stream stereo multiplexer / мультиплексор стерео аудиопотока
flow.mux2~	audio stream stereo multiplexer / мультиплексор стерео аудиопотока
ceammc/mux2~	audio stream stereo multiplexer / мультиплексор стерео аудиопотока
mux2~	audio stream stereo multiplexer / мультиплексор стерео аудиопотока
flow.multiplex~	audio stream multiplexer / мультиплексор аудиопотока
flow.mux~	audio stream multiplexer / мультиплексор аудиопотока
ceammc/mux~	audio stream multiplexer / мультиплексор аудиопотока
mux~	audio stream multiplexer / мультиплексор аудиопотока
flow.once	pass the only message / пропускает единственное сообщение
ceammc/once	pass the only message / пропускает единственное сообщение
once	pass the only message / пропускает единственное сообщение
flow.pack	packs atoms from multiple stream into the single one / упаковка атомов из нескольких потоков в один
flow.pass	pass specified values / пропускает указанные значения
ceammc/pass	pass specified values / пропускает указанные значения
pass	pass specified values / пропускает указанные значения
flow.pass_if	passes the message, accepted by the predicate side-chain / пропускает значение, принятое предикатом боковой цепи обработки
ceammc/pass_if	passes the message, accepted by the predicate side-chain / пропускает значение, принятое предикатом боковой цепи обработки
pass_if	passes the message, accepted by the predicate side-chain / пропускает значение, принятое предикатом боковой цепи обработки
flow.pipe	enhanced version on the vanilla [pipe] object / усовершенствованная версия объекта [pipe]
flow.prepend	inject the message before the current one / вставляет сообщение перед текущим
flow.queue	multichannel message queue with sync capabilities / многоканальная очередь сообщений с возможностью синхронизации
flow.record	control flow record/play / запись/воспроизведение управляющего потока
flow.rec	control flow record/play / запись/воспроизведение управляющего потока
flow.reject	reject specified values / не пропускает указанные значения
ceammc/reject	reject specified values / не пропускает указанные значения
reject	reject specified values / не пропускает указанные значения
flow.!	reject specified values / не пропускает указанные значения
flow.reject_if	reject the message, accepted by the predicate side-chain / не пропускает значение, принятое предикатом боковой цепи обработки
ceammc/reject_if	reject the message, accepted by the predicate side-chain / не пропускает значение, принятое предикатом боковой цепи обработки
reject_if	reject the message, accepted by the predicate side-chain / не пропускает значение, принятое предикатом боковой цепи обработки
flow.ring	queue router for control flow / маршрутизатор в виде очереди для управляющего потока
flow.>>	queue router for control flow / маршрутизатор в виде очереди для управляющего потока
flow.route	enhanced message router / улучшенный маршрутизатор сообщений
flow.select	enhanced message selector / улучшенный селектор сообщений
flow.sel	enhanced message selector / улучшенный селектор сообщений
flow.seqdelay	sequential delay/router for the input stream / последовательный маршрутизатор с задержками для входного потока
flow.seqdel	sequential delay/router for the input stream / последовательный маршрутизатор с задержками для входного потока
flow.space	spaces in time messages received at the same logical time / распределить во времени сообщения, полученные одновременно
flow.speedlim	control stream speed limiter / ограничитель скорости потока
ceammc/speedlim	control stream speed limiter / ограничитель скорости потока
speedlim	control stream speed limiter / ограничитель скорости потока
flow.split	splits control flow by external side-chain predicate / разделят управляющий поток внешним предикатом боковой цепи
ceammc/split	splits control flow by external side-chain predicate / разделят управляющий поток внешним предикатом боковой цепи
split	splits control flow by external side-chain predicate / разделят управляющий поток внешним предикатом боковой цепи
flow.stack	message stack / стек сообщений
flow.sync	sync multichannel bus / синхронная многоканальная шина
flow.'	sync multichannel bus / синхронная многоканальная шина
flow.sync_pack	[flow.pack] with all "hot" inlets / [flow.pack] со всеми "горячими" входами
flow.pack'	[flow.pack] with all "hot" inlets / [flow.pack] со всеми "горячими" входами
flow.tee~	extracts control messages from audio connections / извлекает управляющие сообщения из аудиосоединений
ceammc/tee~	extracts control messages from audio connections / извлекает управляющие сообщения из аудиосоединений
tee~	extracts control messages from audio connections / извлекает управляющие сообщения из аудиосоединений
ceammc/~->	extracts control messages from audio connections / извлекает управляющие сообщения из аудиосоединений
~->	extracts control messages from audio connections / извлекает управляющие сообщения из аудиосоединений
replace	replace atoms in data stream / замена атомов в потоке данных
ceammc/replace	replace atoms in data stream / замена атомов в потоке данных
route.any	separate messages from bangs, floats, symbols and lists / отделяет сообщения общего вида от пустых событий (bang), числовых значений, символов и списков
route.bang	separates the bang messages from others / отделяет пустые события (bangs) от сообщений других типов
route.b	separates the bang messages from others / отделяет пустые события (bangs) от сообщений других типов
route.cycle	cyclic message router / циклический маршрутизатор сообщений
route.data	separates data messages from others / отделяет сообщения с данными от других
route.d	separates data messages from others / отделяет сообщения с данными от других
route.float	separates float messages from others / отделяет числовые сообщения от других типов
route.f	separates float messages from others / отделяет числовые сообщения от других типов
route.list	separates list messages from other types / отделяет списки от сообщений других типов
route.l	separates list messages from other types / отделяет списки от сообщений других типов
route.prop	separates property messages from other types / отделяет сообщения со свойствами от других типов
route.random	routes the input message into the random outlet / направляет входное сообщение в случайный выход
route.r	routes the input message into the random outlet / направляет входное сообщение в случайный выход
route.symbol	separates symbol messages from other types / отделяет символьные сообщения от других типов
route.s	separates symbol messages from other types / отделяет символьные сообщения от других типов
flt.a-weight	convert frequency to A-weight value / вычисляет А-взвешенное значение для данной частоты
flt.biquad~	second order IIR filter / БИХ фильтр второго порядка
flt.bpf12~	two pole band-pass Butterworth filter / двухполюсный полосовой фильтр Баттерворта
flt.bpf24~	four pole band-pass Butterworth filter / четырехполюсный полосовой фильтр Баттерворта
flt.bpf36e~	elliptic band-pass filter with -36db rolloff / эллиптический полосовой фильтр с -36db спадом
flt.bpf72e~	elliptic band-pass filter with -72db rolloff / эллиптический полосовой фильтр с -72db спадом
flt.c_apf	allpass filter coefficients calculator for [flt.biquad~] object / калькулятор коэффициентов всепропускающего фильтра для объекта [flt.biquad~]
ceammc/apf->biquad	allpass filter coefficients calculator for [flt.biquad~] object / калькулятор коэффициентов всепропускающего фильтра для объекта [flt.biquad~]
apf->biquad	allpass filter coefficients calculator for [flt.biquad~] object / калькулятор коэффициентов всепропускающего фильтра для объекта [flt.biquad~]
flt.c_bpf~	BPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов полосового фильтра для [flt.biquad~]
flt.c_highshelf~	highshelf filter coefficient calculator for [flt.biquad~] / калькулятор коэффициентов полочного фильтра высоких частот для [flt.biquad~]
flt.c_hpf	HPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФВЧ частот для [flt.biquad~]
ceammc/hpf->biquad	HPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФВЧ частот для [flt.biquad~]
hpf->biquad	HPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФВЧ частот для [flt.biquad~]
flt.c_hpf~	HPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФВЧ частот для [flt.biquad~]
flt.c_lowshelf~	lowshelf filter coefficients calculator for [flt.biquad~] / калькулятор коэффициентов полочного фильтра низких частот для [flt.biquad~]
flt.c_lpf	LPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФНЧ для [flt.biquad~]
ceammc/lpf->biquad	LPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФНЧ для [flt.biquad~]
lpf->biquad	LPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФНЧ для [flt.biquad~]
flt.c_lpf~	LPF coefficients calculator for [flt.biquad~] / калькулятор коэффициентов ФНЧ для [flt.biquad~]
flt.c_notch	band-reject filter coefficients calculator for [flt.biquad~] / калькулятор коэффициентов режекторного фильтра для [flt.biquad~]
ceammc/notch->biquad	band-reject filter coefficients calculator for [flt.biquad~] / калькулятор коэффициентов режекторного фильтра для [flt.biquad~]
notch->biquad	band-reject filter coefficients calculator for [flt.biquad~] / калькулятор коэффициентов режекторного фильтра для [flt.biquad~]
flt.c_notch~	band-reject filter coefficients calculator for [flt.biquad~] / калькулятор коэффициентов режекторного фильтра для [flt.biquad~]
flt.c_peak~	peaking filter calculator for [flt.biquad~] / калькулятор пикового фильтра для [flt.biquad~]
flt.c_pole	оne-pole coefficient calculator for [flt.biquad~] / калькулятор однополюсного фильтра для [flt.biquad~]
ceammc/pole->biquad	оne-pole coefficient calculator for [flt.biquad~] / калькулятор однополюсного фильтра для [flt.biquad~]
pole->biquad	оne-pole coefficient calculator for [flt.biquad~] / калькулятор однополюсного фильтра для [flt.biquad~]
flt.dcblock2~	stereo DC blocker / двухканальный фильтр, блокирующий постоянную составляющую сигнала
flt.dcblock~	mono DC blocker / одноканальный фильтр, блокирующий постоянную составляющую сигнала
flt.eq10~	graphic 10 band equalizer / графический 10-полосный эквалайзер
flt.eq_peak_cq~	constant-Q second order peaking equalizer section / секция эквалайзера: пиковый фильтр второго порядка c constant-Q
flt.eq_peak~	second order peaking equalizer section / секция эквалайзера: пиковый фильтр второго порядка
flt.fb_comb~	feedback comb filter / гребенчатый фильтр с обратной связью (БИХ)
flt.fbank5x1~	5 band one octave Butterworth filter bank / 5-полосный банк однооктавных фильтров Баттерворта
flt.ff_comb~	feed forward comb filter / гребенчатый фильтр (КИХ)
flt.freqz	compute the frequency response of a digital filter / вычисляет частотный отклик цифрового фильтра
flt.freqz~	compute the frequency response of a digital filter / вычисляет частотный отклик цифрового фильтра
flt.highshelf~	gain boost|cut above some frequency / усиление или ослабление частот выше указанной
flt.hpf12~	high-pass second order Butterworth filter / ФВЧ Баттерворта второго порядка
flt.hpf24~	High-pass fourth order Butterworth filter / ФВЧ Баттерворта четвертого порядка
flt.lowshelf~	gain boost|cut below some frequency / усиление или ослабление частот ниже указанной
flt.lpf12~	Low-pass second order Butterworth filter / ФНЧ Баттерворта второго порядка
flt.lpf24~	Low-pass fourth order Butterworth filter / ФНЧ Баттерворта четвертого порядка
flt.median	median control flow filter / медианный фильтр для контрольного потока
flt.moog_vcf~	Moog Voltage Controlled Filter / управляемый напряжением фильтр Муга
flt.notch~	band-rejection filter / режекторный фильтр
flt.resonbp~	simple resonant bandpass filter / простой резонансный полосовой фильтр
flt.resonhp~	simple resonant highpass filter / простой резонансный ФВЧ
flt.resonlp~	simple resonant lowpass filter / простой резонансный ФНЧ
flt.speaker~	speaker emulation band-pass filter / полосовой фильтр-эмуляция динамика
fx.bitdown~	a bit downer and downsampler effect / понижение разрядности входного сигнала и эффект даунсемплинга
fx.chorus~	chorus effect / хорус-эффект
fx.dattorro~	Dattorro reverb / реверберация Dattorro
fx.delay~	smooth delay with a feedback control / плавный дилей с контролем обратной связи
fx.sdelay~	smooth delay with a feedback control / плавный дилей с контролем обратной связи
fx.distortion1~	distortion #1 from Guitarix effects set / дисторшн №1 из набора эффектов Guitarix
fx.distortion2~	distortion #2 from Guitarix effects set / дисторшн №2 из набора эффектов Guitarix
fx.distortion3~	simple distortion #3 from Guitarix effects set / простой дисторшн №3 из набора эффектов Guitarix
fx.distortion~	cubic nonlinearity distortion / кубический нелинейный дисторшн
fx.drive~	Guitarix drive effect / драйв-эффект из Guitarix
fx.drone_box~	mono sympathetic resonance generator / одноканальный симпатический резонансный генератор
fx.echo2~	stereo echo effect / стерео эхо-эффект
fx.echo~	enhanced echo effect / улучшенный эхо-эффект
fx.secho~	enhanced echo effect / улучшенный эхо-эффект
fx.flanger~	mono flanging effect / одноканальный фленжер эффект
fx.freeverb2~	a stereo version of [fx.freeverb~] / стерео версия [fx.freeverb~]
fx.freeverb~	commonly used open-source reverb / широко используемый ревербератор с открытым исходным кодом
fx.freqshift~	frequency shifter or the single-sideband ring modulation / сдвиг частоты или однополосный кольцевой модулятор
fx.granulator~	input stream granulator / гранулятор входного потока
fx.greyhole~	a complex echo-like effect / cложный эхоподобный эффект
fx.infrev~	port of Infinity VST plugin from "airwindows" / порт плагина Infinity VST из "airwindows"
fx.jcrev~	Schroeder quad reverberator from 1972 / квадрофонический ревербератор Шрёдера из 1972 года
fx.looper~	a single track looper / однодорожечный лупер
fx.overdrive~	overdrive effect / эффект перегрузки
fx.pitchshift_s~	signal version of [fx.pitchshift~] / сигнальная версия [fx.pitchshift~]
fx.pitchshift~	simple pitch shifter based on 2 delay lines / простой питчшифтер на основе 2 линий задержки
fx.rb_pitchshift~	pitchshift from the rubberband library / питчшифтер из библиотеки rubberband
fx.recho~	reversed echo effect / обратный эффект эха
fx.ringmod~	ring modulator effect / кольцевой модулятор
fx.room~	Gardner's room emulation algorithm / алгоритм Гарднера для эмуляции комнаты
fx.satrev~	Schroeder reverberator from 1971 / ревербератор Шрёдера 1971 года
fx.scramble~	scramble delayed sound fragments / скремблер задержанных звуковых фрагментов
fx.shimmer~	shimmer reverb effect / шиммер-эффект реверберации
fx.stutter~	stutter effect / эффект заикания
fx.tapiir~	multi-tap delay / многоуровневая задержка
fx.tremolo~	tremolo effect from Guitarix project / эффект тремоло от проекта Guitarix
fx.vocoder~	simple vocoder where the spectrum of the modulation signal is analyzed using a 32-band filter bank / простой вокодер, в котором спектр модулирующего сигнала анализируется с помощью 32-диапазонного фильтра
fx.wahwah~	digitized CryBaby wah pedal / педаль CryBaby WahWah
fx.zita_rev1~	zita stereo reverb / zita стерео ревербератор
global.dict	global named dictionary / глобальный именованный словарь
global.json	global named dictionary / глобальный именованный словарь
global.float	global named float object / глобальной именованное число с плавающей точкой
global.int	global named integer object / глобальной именованное целое число
global.list	global named list / глобальный именованный список
global.mlist	global named multilevel list (MList) / глобальный именованный многоуровневый список (MList)
global.set	global named set / глобальное именованное множество
hw.apple_smc	query Apple system management control / запросы к системе SMC в Apple
hw.apple_sms	query the sudden motion sensor in Apples / опрос датчика внезапного движения в Apple
hw.arduino	Arduino device / устройство Arduino
hw.display	get/set display properties / получение/установка свойств дисплея
hw.gamepad	gamepad controller / геймпад контроллеры
hw.kbd_light	controlling the keyboard backlight on some devices / управление подсветкой клавиатуры на некоторых устройствах
hw.motu.avb	controls Motu AVB devices over HTTP requests / управление устройствами Motu AVB по HTTP
hw.printer	basic document printing support / базовая поддержка печати документов
hw.rpi.adc.ads1115	driver for 16-bit ADC on ads1115 chip for Raspberry Pi / драйвер для 16-битного АЦП на чипе ads1115 для Raspberry Pi
hw.rpi.display.hd44780	LCD display driver for Raspberry Pi (1602 or 2004 module) / драйвер для ЖКИ дисплея (1602 или 2004 модуль) для Raspberry Pi
hw.rpi.display.lcd1602	LCD display driver for Raspberry Pi (1602 or 2004 module) / драйвер для ЖКИ дисплея (1602 или 2004 модуль) для Raspberry Pi
hw.rpi.display.lcd2004	LCD display driver for Raspberry Pi (1602 or 2004 module) / драйвер для ЖКИ дисплея (1602 или 2004 модуль) для Raspberry Pi
hw.rpi.display.ssd1306	driver for OLED display on ssd1306 chip for Raspberry Pi / драйвер для OLED дисплея на чипе ssd1306 для Raspberry Pi
hw.rpi.gpio	GPIO control for Raspberry Pi / управление GPIO на Raspberry Pi
hw.rpi.i2c.pca9685	driver for 16-channel 12-bit PWM module on PCA9685 chip for Raspberry Pi / драйвер для 16-канального 12-битного ШИМ модуля на чипе PCA9685 для Raspberry Pi
hw.rpi.pwm.pca9685	driver for 16-channel 12-bit PWM module on PCA9685 chip for Raspberry Pi / драйвер для 16-канального 12-битного ШИМ модуля на чипе PCA9685 для Raspberry Pi
hw.rpi.pwm	hardware PWM output for Raspberry Pi / аппаратный ШИМ (PWM) для Raspberry Pi
hw.rpi.rotenc	rotary encoder for Raspberry Pi / поворотный энкодер для Raspberry Pi
hw.rpi.sensor.dht11	digital humidity and temperature sensor (DHT11) for Raspberry Pi / цифровой датчик влажности и температуры (DHT11) для Raspberry Pi
hw.rpi.sensor.ir	IR (infrared) sensors and protocols for Raspberry Pi / ИК (инфракрасные) датчики и протоколы для Raspberry Pi
hw.rpi.sensor.mpr121	12-channel I²C capacitive touch sensor controller with low power consumption and automatic calibration. / 12-канальный I²C-контроллер емкостного сенсора с низким энергопотреблением и автоматической калибровкой.
hw.rpi.sensor.mpu6050	MPU-6050 gyroscope and accelerometer for Raspberry Pi / MPU-6050 гироскоп и датчик ускорения для Raspberry Pi
hw.rpi.sensor.sr04	HC-SR04 ultrasonic ranging module for Raspberry Pi / HC-SR04 ультразвуковой датчик расстояния для Raspberry Pi
hw.rpi.sensor.vl53l0x	time-of-flight (ToF) laser-ranging sensor on VL53L0X chip for Raspberry Pi / лазерный дальномер на чипе VL53L0X для Raspberry Pi
hw.rpi.spi.max7219	LED matrix driver based on max7219 chip for Raspberry Pi / драйвер для LED матрицы на чипе max7219 для Raspberry Pi
hw.rpi.spi.ws2812	ws2812 LED strip driver for Raspberry Pi / драйвер для светодиодной ленты ws2812 для Raspberry Pi
hw.serial	serial port device / серийный порт устройства
lang.faust~	real-time compilation of Faust DSP Language code / компиляция кода Faust DSP Language в реальном времени
lang.lua	Lua JIT language bindings / языковые привязки для Lua JIT
ui.faust~	Faust DSP programming language widget / виджет языка программирования Faust
lfo.+pulse~	unit-amplitude nonnegative low frequency pulse train / прямоугольная низкочастотная волна единичной амплитуды в диапазоне [0,+1]
lfo.+saw~	positive unit-amplitude low frequency saw wave / низкочастотная пилообразная волна в диапазоне [0,+1]
lfo.+square~	positive low frequency square wave / низкочастотная квадратная волна единичной амплитуды в диапазоне [0,+1]
lfo.+tri~	positive unit-amplitude low frequency triangle wave / низкочастотная треугольная волна единичной амплитуды в диапазоне [0,+1)
lfo.impulse~	unit-amplitude low-frequency impulse train / низкочастотный импульсный осциллятор единичной амплитуды
lfo.mosc~	multi-oscillator with various waveforms / мультиосциллятор с различными формами волн
lfo.pulse~	full-range unit-amplitude low frequency pulse train / прямоугольная низкочастотная волна единичной амплитуды в диапазоне [-1,+1]
lfo.saw~	full-range unit-amplitude low frequency saw / низкочастотная пилообразная волна в диапазоне [-1,+1]
lfo.square~	zero-mean unit-amplitude low frequency square wave / низкочастотная квадратная волна единичной амплитуды с нулевым средним значением
lfo.tri~	zero-mean unit-amplitude low frequency triangle wave / низкочастотная треугольная волна единичной амплитуды с нулевым средним значением
list.^at	outputs elements from a predefined list based on an input list of indices / выводит элементы предварительно заданного списка по входящему списку индексов
list.^contains	checks whether the predefined list contains the input element / проверяет, содержит ли предварительно заданный список входной элемент
list.^search	outputs the indices of the found input elements in a predefined list / выводит индексы найденных входных элементов в предварительно заданном списке
